model,dataset,seed,prediction_change_pct,accuracy_gain_pp
rf,elec2,2,2.564102564102564,2.564102564102566
rf,elec2,2,0.0,0.0
rf,elec2,2,1.7241379310344827,1.7241379310344862
rf,elec2,2,3.125,3.125
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,2.2222222222222223,2.2222222222222254
rf,elec2,2,0.0,0.0
rf,elec2,2,1.875,-1.8750000000000044
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,1.0416666666666665,1.041666666666663
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.625,0.6249999999999978
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,5.673758865248227,-1.4184397163120588
rf,elec2,2,0.0,0.0
rf,elec2,2,4.225352112676056,4.225352112676061
rf,elec2,2,2.2222222222222223,2.2222222222222143
rf,elec2,2,0.819672131147541,-0.8196721311475419
rf,elec2,2,1.7964071856287425,1.7964071856287456
rf,elec2,2,4.444444444444445,0.0
rf,elec2,2,1.2987012987012987,1.2987012987012991
rf,elec2,2,0.0,0.0
rf,elec2,2,1.1111111111111112,1.1111111111111072
rf,elec2,2,0.0,0.0
rf,elec2,2,1.0050251256281406,1.005025125628145
rf,elec2,2,1.7241379310344827,1.7241379310344807
rf,elec2,2,0.78125,0.78125
rf,elec2,2,0.0,0.0
rf,elec2,2,0.0,0.0
rf,elec2,2,0.625,0.6249999999999978
rf,elec2,2,4.0,4.0000000000000036
rf,elec2,2,1.5,1.5000000000000013
rf,elec2,2,0.0,0.0
rf,elec2,2,19.07514450867052,12.138728323699421
rf,elec2,3,0.5988023952095809,-0.5988023952095745
rf,elec2,3,0.0,0.0
rf,elec2,3,1.4184397163120568,1.4184397163120588
rf,elec2,3,1.0050251256281406,0.0
rf,elec2,3,4.444444444444445,0.0
rf,elec2,3,9.523809523809524,-9.523809523809524
rf,elec2,3,0.5,-0.5000000000000004
rf,elec2,3,2.8169014084507045,-2.8169014084507116
